story,Crime_0,Crime_1,Crypto/net_0,Crypto/net_1,Inflation_0,Inflation_1,Politics_0,Politics_1,Politics_2,Politics_3,Public services_0,Public services_1,Public services_2,Public services_3,Public services_4,Public services_5,Public services_6,Russia_0,Russia_1,Russia_2,Russia_3,Russia_4,Russia_5
b3c023b6993764671e1cf38be07dec540d14e9cf,-1.9884215254293337e-05,-0.0003363455174197577,6.362083601858519e-05,0.0001024678209646038,-0.0003640854992767332,-0.00039347410497012726,-0.00011554279995596676,-0.00017319937509703188,0.00027443857688254,-0.0008746464314800217,6.37070431695828e-05,-0.0002516549143058198,9.799207739538348e-05,-0.0001499027801282664,0.0003558177775376237,-0.00014460922092072775,0.0001727425631447145,-1.924815755219514e-05,-0.00048101588773696765,0.00031824426177352806,-0.0007367786273688669,3.902517565273914e-06,-0.001845276146963042
b3e2fb404c745fe24cd5cfd53e6ae7ada12b6edb,-0.00014676326020584602,0.0007908286464814082,,,,,0.0030413625580732405,0.0014833264632637538,-0.0004354651105021137,0.002129273248384231,,,,,,,,0.0009331908963790631,0.0010255045127709776,-0.0008364166463261705,0.0002639174206349325,-0.002121701197977093,0.0006162838253454454
b41bbca7371271974423b1bd7f67abe0104ef431,-2.800094063217991e-05,3.359155652573274e-05,,,,,,,,,3.0706247142959554e-05,-5.6704885533824645e-05,3.08120377097486e-05,-0.0001358399530248728,0.0003088096013041294,-3.580958435049801e-05,0.00025939467571489683,,,,,,
b42521c0b0b691d3f966459b4fb21675a8fb9150,-0.0002733953144708792,0.0007860186522951111,6.48398839591135e-05,3.900487337350775e-05,-0.0006313495461333719,-0.0002790066540312188,-9.661471131782483e-05,-0.00016597086631082525,0.00028265094466299194,-0.001450548504888903,1.731897524172457e-05,-0.0001379488096950076,0.00011817995008656321,2.848207934604513e-05,0.00010661637661928044,-0.000185711118489093,0.0002423177771407256,0.002976593863751783,0.003089768238611218,-0.0030115287978910443,0.0007032060864944091,-0.0030887538370097944,0.001869209228988208
b43429fe3ab1ee3a1a4e6c572519a465465719fd,-3.3791803832678326e-05,-6.931843562542177e-05,,,,,-6.532072706984235e-05,-0.0001428738262714612,0.000269711939813689,-0.0015468326896054278,0.00015579444155718996,-0.0018150440545490986,0.024494967506573297,0.00042251832330338307,0.00012898865066213465,-0.0004802938180682927,-0.0003637474840963423,0.0018617413814082774,0.002168095488420662,-0.001673008249179226,0.0006688005761519098,-0.0018972227263060045,0.0015507496932561544
b44cb96100dc85b3126893ba75c3bbcaf3a8ca82,2.937312573569143e-05,-0.0005222139588164521,,,,,-0.002152024139708364,-0.007342949923211522,0.0008410280839237623,-0.008372330013135507,6.9606612192186016e-06,-0.00014301842186141217,5.406200485163269e-05,-0.0006355021880541051,0.0004569483353943514,-0.0002011423499767692,6.0151858572935445e-05,,,,,,
b45a63e40bb2d46ae51186690f88f6f0eec6f8a9,-5.2159049450955144e-05,7.799380335293338e-05,,,,,-4.828281995994715e-05,-9.184134094830036e-05,0.00017868360870358445,-0.0005542415182250125,,,,,,,,,,,,,
b45ec0ff3c5c76318fd7c55b2887395c6982d68c,-6.259313120572872e-05,0.0005347785726707228,,,,,-8.063199620003255e-05,-3.192244166947939e-05,0.00018943602645918065,-4.723706020212436e-05,,,,,,,,,,,,,
b4632b519ca36f306d37a36d655bcebb4afafdf7,-2.1220875971780037e-05,-0.00024158534632692994,7.480708258014779e-05,3.589176779990516e-05,,,-5.024687343679748e-05,-0.00013070124990162497,0.00016640965374312096,-0.0003375321027802516,9.652673862482246e-05,-0.00013889591912338587,6.913864820235002e-05,-5.01053946397572e-05,0.00011864793177203788,-7.448433680544317e-05,9.365375846278733e-05,,,,,,
b47e97640dbcfafd897ca3db037ee99a12c2ffc4,-9.679098379696564e-06,-3.689330558793009e-05,,,,,-0.0001401878061209648,-0.00016255843419069906,0.000525026994439646,-0.0020528334612047263,,,,,,,,,,,,,
b4ae68595c1a0c13bbe02f7b7fd9e1a820e6edaf,-1.723826913157918e-05,8.066985530964725e-05,,,,,-0.00010886898790245216,-0.0002111860242801986,0.0003469918941931751,-0.0008822564171060373,-3.6606106021557576e-05,-0.00019858201419201496,6.497623664449592e-05,-0.0002150967182974267,0.0003478460342187695,-0.00014206334972463548,0.00023258646868490546,,,,,,
b4ecf5716bcab3ba1261c850a65552f167812f88,-7.217236143340794e-05,0.0003260025084671256,,,,,-1.0844519777488518e-06,1.512518736869329e-05,-9.818754615645673e-06,0.00029012955563596305,2.0370912792855837e-05,-8.122753242270426e-05,5.533175252439067e-05,-0.00022557993469212568,6.536028159150551e-05,-2.930169190218354e-05,5.720065063611403e-05,,,,,,
b4fb5788e15ebe564a385e63236e9cb05dd57e65,-6.431496817890251e-05,9.853889912445447e-05,,,,,4.886338856593835e-05,0.00018002569802393615,-0.00044300446981708247,0.0034214555554634117,,,,,,,,,,,,,
b528d14cc2e7de7e669f96e57aa5ac465639c378,6.761904907671187e-06,-0.0003337710989512502,0.0002148966602042584,0.0001531041501126532,-0.0008274108797587144,-0.00040127850462982564,-0.006143441297215927,-0.003451579225386721,0.0006885124946135851,-0.0028949643524184016,-1.3061913188858832e-05,-0.0005665355163851644,4.955458062157423e-05,-0.0002082309627911219,0.00023883129714761088,-0.00024167649813760486,0.00036706958245024453,,,,,,
b59117f92ef78c444dd6a8c895b9c2c22b1f5ffe,-1.9832274595757813e-05,-0.0005030094879969797,,,,,-8.487709326420584e-05,-0.0001547998303162051,0.0002696344609280746,-0.00034022729431148726,,,,,,,,0.0016514614751193507,0.000833764740963139,-0.0002711379405080733,-0.00039416370045481985,-0.0003375602189279633,0.00035595884486755674
b596d02a9dce66b03862df10c92eab0f14d42a8e,1.5690571276636142e-05,-0.0004147441016639422,2.3689465265300567e-05,-0.0002253562763572635,,,-0.00016653256364554823,-0.0004015532376559548,0.0006931328528977201,-0.00345841589019789,0.00010990663620530479,-0.009493850576250911,3.092375609147715e-05,-0.0003710764156462656,0.003618705828560988,-0.004743588641372516,0.0025247766748663744,-0.00998023464615984,-0.012698746731216695,0.011261202395731335,-0.004716471376022047,0.993204445559994,0.017230080096219624
b5ddd2ed391009c227e5df6022200bc51dca6e93,-0.23767342164842026,-0.001274307508263445,,,,,,,,,,,,,,,,,,,,,
