story,Politics_0,Politics_1,Politics_2,Politics_3,Politics_4,Politics_5,Politics_6,Politics_7,Politics_8,Politics_9,Politics_10,Politics_11,Politics_12,Politics_13,Politics_14,Politics_15,Politics_16,Politics_pca_1d,Politics_pca_2d,Russia_0,Russia_1,Russia_2,Russia_3,Russia_4,Russia_5,Russia_6,Russia_7,Russia_8,Russia_9,Russia_10,Russia_pca_1d,Russia_pca_2d,Public services_0,Public services_1,Public services_2,Public services_3,Public services_4,Public services_5,Public services_6,Public services_7,Public services_8,Public services_9,Public services_10,Public services_pca_1d,Public services_pca_2d,Crime_0,Crime_1,Crime_2,Crime_3,Crime_4,Crime_5,Crime_6,Crime_7,Crime_8,Crime_9,Crime_10,Crime_11,Crime_12,Crime_pca_1d,Crime_pca_2d,Crypto/net_0,Crypto/net_1,Crypto/net_2,Crypto/net_3,Crypto/net_4,Crypto/net_5,Crypto/net_pca_1d,Crypto/net_pca_2d,Inflation_0,Inflation_1,Inflation_2,Inflation_3,Inflation_4,Inflation_pca_1d,Inflation_pca_2d
elespanol,-0.007972110499791,0.0374792841965699,0.3763004192663589,0.085058985219757,-0.0146641337196527,-0.080963054595939,-0.01388972103131,-0.0701502790068118,0.0046963397638391,0.0421839224557023,-0.0614450182930929,-0.0505408914730104,-0.1246812261601047,0.1245997109565566,-0.016556588821942,0.0814043335214771,0.0291074384486555,-0.42776504029181434,0.24802440836582001,0.0050048189214395,0.4436824499722791,-0.1959976848706672,-0.132262220465287,-0.4098709503160375,0.0189218301445033,-0.0438197402661356,-0.4845836662654594,-0.1039820421529167,0.5084345093428019,0.22082869154911,-0.002902117955760554,0.599498707175112,0.3703916677653149,-0.0303679504955273,-0.1545015514946894,-0.0684124474743898,-0.1835481304389169,0.0900381837385998,-0.1848495167235394,0.0273506344489064,0.1193208993845708,0.1107572858636295,-0.0812421536237283,0.3432054572914981,0.46750651595885523,0.0542176192761573,-0.1204112755652301,0.1183361282048163,-0.1275429818754582,-0.0541916684221249,-0.1195557665453602,0.2055341447267757,-0.0405252884664811,-0.0497842570753873,0.1046654707733262,-0.0064983545989442,-0.0240218007853522,-0.1390346064918514,0.5787628582430907,-0.13848904598777398,,,,,,,,,0.7506768732788789,-0.0671884817299234,-0.1871725209343667,-0.895525042935263,0.4731217563084564,-2.273287540501994,1.1313801945704045
20minutos,0.0023829365874856,0.0421063608306089,0.6503184203952704,0.2501460276902365,0.0189977142031162,-0.1073626577236445,-0.0716089399833065,-0.0315099977739396,0.096287805524266,-0.4130991996814802,0.9751594151485948,0.9321218268694864,0.2632471157712276,0.1102906757683255,-0.1659499477829459,0.0478521714013433,0.0985388878772002,-0.6152838316056746,-0.4975094862307146,-0.0070242236604724,0.4470739694202736,-0.0626205314123394,-0.0215013649871336,-0.3024692786064124,0.1151800207156407,0.0727949039861491,0.3854919144739634,0.4774436997681611,0.0840712929740102,0.3795509746754023,1.1863470015303221,-0.22165988444727014,0.3384233688822274,-0.1094035919409047,0.002253799496875,-0.323348395963472,-0.2438134698489772,0.2994712572761164,-0.1265250828208027,0.3773377915322874,-0.0068954609599573,0.1167733746966842,-0.3525903160059728,1.8444932246715906,0.3619068084041959,0.0769781470458349,-0.1285247541931344,-0.1216154883017458,-0.1196741065519329,0.3304034014068035,0.3947911618406629,-0.1715482428205247,-0.1636886178534697,0.0311186575276626,0.0660023012974096,0.0266739760249305,0.0147593491331715,0.0318974934988027,-0.874676784938416,0.10409007134273583,,,,,,,,,,,,,,,
catalunyapress,-0.0389090458907734,0.00318590520669,0.173165852808827,0.073302085757584,-0.0408643707626819,-0.0864833909190243,0.0203227461534224,-0.121583039390868,-0.0211885623404453,-0.0382049769577647,-0.0266257100805309,-0.0433348238263093,-0.0271733073361751,-0.0736178778606146,-0.2870703574789368,0.1128021320837937,-0.0390748609321225,-0.3204932596897852,-0.4708714288283686,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0900491722427887,-0.214646437857988,-0.1295709059669401,-0.4572691219999264,0.3487583399261078,-0.3634979742145622,0.133418608710167,0.2338974018230419,0.4810274317935408,-0.0523403099758132,0.3995540420955614,0.2594895852032314,-0.0937356985018414,-0.30043991466103237,-0.1430092068369056,,,,,,,,,,,,,,,
eldiario,-0.0179612644690465,-0.0164516317799343,-0.0135883986181962,-0.1884318241999888,0.0757225468208779,0.0522871270551726,-0.0231818424229743,0.0486326627102993,-0.0405970293356467,-0.0066248063327647,-0.0030047692500559,0.0063925314042244,0.0099925167273624,0.0025789211680513,-0.0073767680814488,-0.003020747550397,-0.0009808225689339,-0.36856176559725856,-1.133561158559122,-0.0536028469574812,0.2323373245877897,-0.075796040031231,-0.0534103237926781,0.089330853146768,-0.0332960218202749,0.3002816274315406,0.0705945414602071,0.0182051651143753,-0.0529049922865187,0.1565433015416666,0.14399143169851805,-0.3150499096643705,-0.1136020138606621,0.0686420019039004,-0.0357619870365349,-0.0309107569564398,0.0590000032466867,-0.0644582250453437,-0.0245521132575304,0.0953370719355823,-0.1237316349444891,-0.0219728769380168,0.0286019828747673,0.2953477995599426,-0.32007637670412603,-0.4293861147173026,0.3292501536388931,-0.1655306963224078,0.0812294617660068,-0.0132409750864064,-0.0687503549740755,-0.0013472691361486,-0.0556607947376801,-0.1378990556801603,0.1136385937089986,0.0076727707233893,-0.0835407108133384,0.0459938910785481,-0.6372476834015334,-0.280825489168713,-0.2668720332715975,-0.306660031672426,-0.1503997475145372,0.0362133370506992,0.3028825791903871,-0.1891216259064082,-0.6509292720233626,-0.5600158045561918,-0.3685559194900396,-0.0392162343810969,-0.000329017322765,-0.0987655960661169,-0.1835592843955352,-0.002967443514472784,-1.0033343402761392
elperiodico,-0.0015836697587779,0.0706538020884169,0.2753638474316422,-0.0027994707406735,-0.0168584162910065,-0.0577249030774464,0.1467676236809171,0.097540445863469,-0.1278137057310107,-0.1059673414092969,-0.0657603044330278,-0.0106651724677764,0.089730236235425,0.0699946025814916,-0.028051286583678,0.0978447583089655,0.0218497448923697,0.48206632524744764,-0.19269307450777978,-0.1013967346277894,0.0523133034919491,0.1860208533617387,0.1508092589937902,-0.0986421960560829,-0.0985596800197455,-0.0098218285657194,-0.0041596229910629,0.2948709953625711,0.0180077624282971,-0.0240198770766868,0.06589421851896501,-0.07574091837795384,0.2947113758268699,0.2013633072266067,-0.3633507260733317,-0.1172017990882332,-0.3634903115232432,0.2989588915850273,-0.378146101218779,0.4273280209927309,0.1591287054050489,0.1460018494749726,-0.5370608509175994,1.0974491116557161,0.4661539177701227,0.2290530646594622,-0.2330315008306984,-0.1378894569393769,-0.0794284627690733,0.0410889105298762,0.1159706854395352,-0.0751486985284707,-0.1750319741809408,0.056187727870627,0.0001390170949006,-0.1108615931979553,0.0898199653686495,0.0390938794754404,-0.3744320651990558,-0.21004422440974546,,,,,,,,,,,,,,,
europapress,-0.0157596282015234,0.0514708172416706,0.591934152798913,0.1675519670546884,-0.1275621667674128,-0.0752131012774011,-0.1025416978224617,-0.0235588339679734,0.0273666554645179,-0.13531498396914,-0.1431116533957578,-0.1567696153829497,0.064780112949532,-0.0771434134402761,-0.2126656332603682,0.0821662436813362,0.0014949694066893,0.07290190110638572,0.29825696519876765,-0.2488658964106458,-0.0063325770091386,-0.0865433569486294,0.2495333121894398,0.2012838296602388,-0.2819145379793694,-0.1602944760902962,-0.1347622268784511,0.0399044486666963,0.0332814485352269,-0.0352008013241176,0.26733194975445707,0.5218801534470089,0.2831685486493987,0.1122950295228396,-0.0542130559001029,-0.1571917663879948,-0.0951606088421032,-0.1197378518905357,-0.075533417896568,-0.0142256962275717,0.2511158238545258,-0.0881863301937533,-0.2285750365986876,0.42324091522380797,0.7467052660786517,0.1393450318370614,-0.1103028798229293,-0.1279865343661663,0.0175749288395738,-0.0343169896073294,0.0104179976682219,-0.1229952760869408,-0.0132775857600729,-0.0475561851370325,-0.071765198157371,-0.0056611278052991,0.0019847442237986,-0.0430078284963765,-0.6260368919156516,-0.12769925761669543,,,,,,,,,0.2031082424490156,0.2599924141531136,-0.0377858103107777,-0.5024261827268057,-0.175758621334251,-0.13561765788977628,0.33289042065980023
infobae,-0.0410206911572007,-0.0035732006341299,0.1571745572082499,-0.1113741298577404,0.1476012179242286,0.0274092798835446,-0.0664520750355774,-0.0201731468266439,0.0355233828399183,-0.2235659242360586,0.3708058566122665,0.5017169478789849,0.1001940630267747,0.1664328203125251,0.0372692642613373,-0.060402200404741,0.054021482048582,-0.8327034751456993,-1.191818663086313,0.2774605860361671,0.636536565326036,0.0540867327148363,-0.3109714808274638,-0.5294808929174968,0.1368562720475849,0.0205088920157662,-0.0159887816112279,0.1231761541630263,0.1731336768971199,0.1887546405568551,0.8464478854168479,-0.009453262737393688,,,,,,,,,,,,,,0.0045161220353505,-0.068273904443397,0.0469485986719732,0.0800783275779572,0.3217202103817626,0.024374985330717,-0.4421740288447207,-0.2116278078708078,-0.106037580992224,-0.30445450494512,0.2024990856664409,0.0192218437093114,-0.2150855158999582,-0.3910093764757913,-0.04896445762725837,,,,,,,,,,,,,,,
rtve,-0.0018069964706568,0.0327959065856073,0.5136616509818658,0.2980047174186293,0.0009868705855886,-0.0343390288615046,-0.1633189177653845,0.1175880587188363,0.0129717966392464,-0.3579045062169426,-0.2736762299420551,-0.1390570095540236,0.3474696387477725,-0.224849407190683,-0.3655918884828854,0.1451963646246415,0.064207802193193,0.3951043691177813,-0.30509904183096986,-0.0501047698176508,-0.0362713881354373,0.3969726313905352,0.2462558654374417,-0.3896424192901299,-0.2841983818475486,-0.0229292972971074,-0.0147315342115064,0.2148954676357643,0.0605975443516285,-0.1255176324984397,-0.1436082726656227,0.5577245039009409,,,,,,,,,,,,,,0.040553999634108,-0.0756617505502752,-0.0185932447220664,0.2746861750624161,-0.0383426904908219,0.0119431013379529,-0.6539180137014424,0.0402481163745354,0.0263472931077685,-0.0307795176313688,0.2864136106206145,-0.2803222926142797,0.120053191390639,-0.5274729991732522,-0.7557244407672551,,,,,,,,,,,,,,,
abc,0.0058017453706282,0.0190780086402308,0.5179866248172235,0.1832683340400938,-0.0008500886240547,-0.1396747554122041,-0.0677197149527917,-0.1061000484760047,-0.0060309844748514,-0.0231202691383984,-0.1396722134291507,0.096905838536613,-0.2074726022170543,0.3019651770174687,0.1709760083842077,0.355171287917995,-0.0190790064618868,-0.6420391972049657,0.703059538005106,-0.1255692070549018,0.1897036954621523,-0.2353614726088448,-0.1299543286223875,0.1366671517886395,-0.0921347020171469,0.1773846051601149,0.0609900798935575,-0.0604232972760617,-0.296075225564108,-0.0310221442062639,0.22284150811955442,-0.18909776517129828,,,,,,,,,,,,,,0.0709632525371071,-0.1062564999452563,-0.0032501993780181,-0.087207650507906,-0.0338844424870167,0.0369776873762878,0.0931974069810509,-0.2879507893476734,-0.0897979746015333,0.0046314386640926,0.1503883690392854,-0.1060148308395013,-0.0751420111493307,0.23238560191336055,-0.2221212672614533,,,,,,,,,,,,,,,
antena3,0.0081752837679487,-0.0075813948626134,0.2993667175177821,0.094061682015505,0.0761553220221915,-0.0628473435317017,-0.186011517674964,-0.1448158088530122,0.0084584712542695,-0.0343072398080743,-0.113366546593649,6.519832070207149e-05,-0.0516015938742608,0.1756852760066809,-0.1275293298290112,0.2155172239532948,0.0224069628225359,-1.0179296069176846,-0.21277821384450385,,,,,,,,,,,,,,,,,,,,,,,,,,,0.089275933242372,-0.1467921446517739,-0.0642783444624645,-0.0216128343017731,0.0862840861171875,0.1174590275088652,0.1276647802380598,0.14772284070231,-0.1359319369613098,0.1593130384005846,-0.0981741661349747,-0.1811601861438129,-0.1425341303652699,-0.9597595020488503,0.3583128308274696,,,,,,,,,,,,,,,
