story,Crime_0,Crime_1,Crime_2,Crime_3,Crime_4,Crime_5,Crime_6,Crime_7,Crime_8,Crime_9,Crime_10,Crime_11,Crime_12,Crypto/net_0,Crypto/net_1,Crypto/net_2,Crypto/net_3,Crypto/net_4,Crypto/net_5,Inflation_0,Inflation_1,Inflation_2,Inflation_3,Inflation_4,Politics_0,Politics_1,Politics_2,Politics_3,Politics_4,Politics_5,Politics_6,Politics_7,Politics_8,Politics_9,Politics_10,Politics_11,Politics_12,Politics_13,Politics_14,Politics_15,Politics_16,Public services_0,Public services_1,Public services_2,Public services_3,Public services_4,Public services_5,Public services_6,Public services_7,Public services_8,Public services_9,Public services_10,Russia_0,Russia_1,Russia_2,Russia_3,Russia_4,Russia_5,Russia_6,Russia_7,Russia_8,Russia_9,Russia_10
diariosur,0.27086886606847616,-0.2435261672163217,0.02449065120497538,-0.10136508897289614,-0.08581507191241122,0.3489389570621411,-0.010635107893242303,0.006772846639998716,-0.28095324106178227,0.07241944786615236,0.40008333539207636,0.47394906461960074,-0.021540249739352244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elespanol,0.0542176192761573,-0.1204112755652301,0.11833612820481634,-0.12754298187545823,-0.0541916684221249,-0.11955576654536024,0.20553414472677575,-0.040525288466481166,-0.04978425707538735,0.10466547077332626,-0.0064983545989442115,-0.024021800785352224,-0.13903460649185145,,,,,,,0.7506768732788789,-0.0671884817299234,-0.1871725209343667,-0.895525042935263,0.47312175630845643,-0.007972110499791093,0.0374792841965699,0.3763004192663589,0.08505898521975701,-0.0146641337196527,-0.08096305459593903,-0.01388972103131005,-0.07015027900681184,0.0046963397638391195,0.04218392245570238,-0.06144501829309294,-0.050540891473010455,-0.12468122616010478,0.12459971095655667,-0.016556588821942095,0.08140433352147713,0.029107438448655577,0.37039166776531496,-0.03036795049552732,-0.15450155149468942,-0.06841244747438983,-0.18354813043891696,0.0900381837385998,-0.1848495167235394,0.02735063444890646,0.11932089938457088,0.11075728586362951,-0.08124215362372833,0.005004818921439521,0.4436824499722791,-0.19599768487066727,-0.13226222046528702,-0.4098709503160375,0.018921830144503392,-0.04381974026613563,-0.48458366626545946,-0.10398204215291676,0.5084345093428019,0.22082869154911
ultimahora,0.2946516954269851,-0.2695614344714755,0.3125854589301182,0.07680586639236758,-0.49990477807982564,0.23993780014135643,0.010207590497231918,-0.18864131148904334,-0.435592096966288,0.10069772673334533,-0.1898298593448737,0.46410137583432653,-0.0359815895847609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20minutos,0.07697814704583494,-0.1285247541931344,-0.12161548830174587,-0.11967410655193295,0.3304034014068035,0.3947911618406629,-0.17154824282052472,-0.16368861785346978,0.031118657527662602,0.0660023012974096,0.0266739760249305,0.014759349133171595,0.03189749349880275,,,,,,,,,,,,0.0023829365874856534,0.04210636083060893,0.6503184203952704,0.2501460276902365,0.018997714203116283,-0.10736265772364453,-0.07160893998330654,-0.031509997773939646,0.09628780552426607,-0.4130991996814802,0.9751594151485949,0.9321218268694865,0.2632471157712276,0.11029067576832553,-0.16594994778294592,0.04785217140134332,0.09853888787720025,0.3384233688822274,-0.10940359194090479,0.0022537994968750853,-0.32334839596347204,-0.24381346984897723,0.29947125727611645,-0.12652508282080274,0.3773377915322874,-0.006895460959957302,0.11677337469668427,-0.3525903160059728,-0.007024223660472489,0.4470739694202736,-0.06262053141233948,-0.02150136498713366,-0.3024692786064124,0.11518002071564074,0.0727949039861491,0.38549191447396347,0.47744369976816114,0.08407129297401027,0.37955097467540233
catalunyapress,0.09004917224278874,-0.21464643785798806,-0.12957090596694018,-0.4572691219999264,0.34875833992610783,-0.3634979742145622,0.133418608710167,0.23389740182304192,0.48102743179354085,-0.0523403099758132,0.39955404209556145,0.2594895852032314,-0.09373569850184145,,,,,,,,,,,,-0.038909045890773424,0.0031859052066900285,0.17316585280882704,0.07330208575758404,-0.04086437076268198,-0.08648339091902435,0.020322746153422434,-0.12158303939086809,-0.021188562340445388,-0.03820497695776472,-0.026625710080530968,-0.04333482382630939,-0.02717330733617515,-0.07361787786061467,-0.2870703574789368,0.11280213208379374,-0.03907486093212255,,,,,,,,,,,,,,,,,,,,,,
eldiario,-0.4293861147173026,0.3292501536388931,-0.16553069632240786,0.08122946176600687,-0.013240975086406467,-0.06875035497407556,-0.001347269136148627,-0.055660794737680194,-0.1378990556801603,0.11363859370899863,0.007672770723389306,-0.0835407108133384,0.04599389107854818,-0.2668720332715975,-0.30666003167242606,-0.1503997475145372,0.036213337050699256,0.3028825791903871,-0.18912162590640824,-0.3685559194900396,-0.039216234381096976,-0.00032901732276501006,-0.09876559606611697,-0.18355928439553523,-0.01796126446904656,-0.016451631779934337,-0.01358839861819621,-0.18843182419998883,0.07572254682087796,0.05228712705517266,-0.02318184242297432,0.04863266271029937,-0.040597029335646725,-0.006624806332764759,-0.0030047692500559864,0.006392531404224469,0.009992516727362418,0.002578921168051314,-0.007376768081448894,-0.0030207475503970724,-0.000980822568933956,-0.11360201386066218,0.06864200190390049,-0.03576198703653498,-0.030910756956439828,0.05900000324668679,-0.06445822504534379,-0.02455211325753041,0.09533707193558237,-0.12373163494448919,-0.021972876938016847,0.028601982874767364,-0.0536028469574812,0.2323373245877897,-0.07579604003123104,-0.05341032379267813,0.08933085314676802,-0.03329602182027491,0.30028162743154063,0.07059454146020716,0.01820516511437533,-0.052904992286518765,0.15654330154166665
elperiodico,0.22905306465946224,-0.2330315008306984,-0.13788945693937693,-0.07942846276907331,0.04108891052987623,0.11597068543953523,-0.07514869852847075,-0.17503197418094088,0.056187727870627,0.00013901709490062768,-0.11086159319795537,0.08981996536864952,0.039093879475440435,,,,,,,,,,,,-0.0015836697587779545,0.07065380208841693,0.2753638474316422,-0.0027994707406735425,-0.016858416291006553,-0.05772490307744643,0.14676762368091717,0.09754044586346908,-0.12781370573101075,-0.10596734140929698,-0.06576030443302788,-0.010665172467776471,0.089730236235425,0.06999460258149166,-0.02805128658367801,0.0978447583089655,0.021849744892369728,0.2947113758268699,0.20136330722660675,-0.3633507260733317,-0.11720179908823322,-0.36349031152324324,0.2989588915850273,-0.378146101218779,0.42732802099273093,0.15912870540504898,0.14600184947497263,-0.5370608509175994,-0.10139673462778942,0.05231330349194917,0.18602085336173876,0.1508092589937902,-0.09864219605608295,-0.09855968001974555,-0.009821828565719472,-0.004159622991062931,0.2948709953625711,0.01800776242829711,-0.02401987707668682
europapress,0.13934503183706146,-0.11030287982292936,-0.1279865343661663,0.01757492883957383,-0.03431698960732947,0.010417997668221947,-0.12299527608694084,-0.013277585760072957,-0.04755618513703258,-0.071765198157371,-0.0056611278052991765,0.0019847442237986533,-0.04300782849637652,,,,,,,0.2031082424490156,0.25999241415311364,-0.037785810310777795,-0.5024261827268057,-0.17575862133425108,-0.01575962820152347,0.05147081724167069,0.591934152798913,0.16755196705468842,-0.12756216676741286,-0.07521310127740113,-0.10254169782246171,-0.023558833967973414,0.027366655464517976,-0.13531498396914005,-0.14311165339575788,-0.15676961538294978,0.06478011294953202,-0.07714341344027614,-0.21266563326036825,0.08216624368133624,0.001494969406689381,0.2831685486493987,0.11229502952283966,-0.0542130559001029,-0.1571917663879948,-0.09516060884210323,-0.11973785189053576,-0.075533417896568,-0.014225696227571758,0.25111582385452585,-0.08818633019375338,-0.2285750365986876,-0.24886589641064588,-0.006332577009138654,-0.08654335694862945,0.24953331218943986,0.20128382966023886,-0.2819145379793694,-0.16029447609029626,-0.13476222687845119,0.03990444866669639,0.03328144853522699,-0.03520080132411766
infobae,0.004516122035350511,-0.06827390444339708,0.0469485986719732,0.08007832757795724,0.3217202103817626,0.02437498533071708,-0.4421740288447207,-0.21162780787080782,-0.10603758099222407,-0.30445450494512,0.20249908566644095,0.01922184370931144,-0.21508551589995822,,,,,,,,,,,,-0.041020691157200764,-0.0035732006341299685,0.15717455720824997,-0.11137412985774048,0.14760121792422862,0.027409279883544652,-0.06645207503557743,-0.020173146826643992,0.03552338283991839,-0.2235659242360586,0.37080585661226656,0.5017169478789849,0.10019406302677472,0.16643282031252515,0.0372692642613373,-0.060402200404741056,0.05402148204858208,,,,,,,,,,,,0.27746058603616713,0.636536565326036,0.0540867327148363,-0.3109714808274638,-0.5294808929174968,0.13685627204758496,0.02050889201576625,-0.01598878161122791,0.12317615416302637,0.17313367689711995,0.18875464055685512
rtve,0.04055399963410804,-0.07566175055027526,-0.018593244722066464,0.2746861750624161,-0.03834269049082194,0.011943101337952941,-0.6539180137014424,0.0402481163745354,0.026347293107768576,-0.0307795176313688,0.28641361062061454,-0.28032229261427977,0.12005319139063905,,,,,,,,,,,,-0.0018069964706568353,0.03279590658560738,0.5136616509818658,0.2980047174186293,0.000986870585588609,-0.034339028861504604,-0.16331891776538457,0.11758805871883635,0.012971796639246438,-0.3579045062169426,-0.2736762299420551,-0.13905700955402364,0.3474696387477725,-0.224849407190683,-0.36559188848288543,0.14519636462464153,0.06420780219319307,,,,,,,,,,,,-0.050104769817650864,-0.036271388135437385,0.39697263139053524,0.24625586543744174,-0.3896424192901299,-0.2841983818475486,-0.02292929729710741,-0.01473153421150644,0.2148954676357643,0.060597544351628535,-0.1255176324984397
