level	number of topics	topics	topic_num	keywords
1	26	topic_0	0	millón, empresa, euros, precio, cuenta
1	26	topic_1	1	primero, segun, mes, encontrar, ciudad
1	26	topic_2	2	estudio, antiguo, cientifico, espacio, tierra
1	26	topic_3	3	vivienda, trabajador, medico, hospital, laboral
1	26	topic_4	4	tipo, agua, coche, producto, energia
1	26	topic_5	5	ser, haber, tener, hacer, solo
1	26	topic_6	6	mas, poder, si, nuevo, dos
1	26	topic_7	7	ano, decir, llegar, grupo, nacional
1	26	topic_8	8	  , caso, social, hora, mientras
1	26	topic_9	9	gobierno, espana, pais, presidente, general
1	26	topic_10	10	central, subida, gas, inflacion, tasa
1	26	topic_11	11	mundo, historia, grande, video, conocido
1	26	topic_12	12	guerra, ucrania, ruso, unidos, rusia
1	26	topic_13	13	animal, texto, perro, demasiado, club
1	26	topic_14	14	popular, derecha, violencia, extremo, juan
1	26	topic_15	15	ucraniano, arma, republicano, derechos, israel
1	26	topic_16	16	civil, victima, autoridad, guardia, morir
1	26	topic_17	17	humano, estrella, cerebro, universo, james
1	26	topic_18	18	persona, mujer, policia, hombre, joven
1	26	topic_19	19	vida, siglo, salud, obra, pelicula
1	26	topic_20	20	ley, derecho, tribunal, sexual, justicia
1	26	topic_21	21	cadena, premio, covid, romano, transicion
1	26	topic_22	22	the, twitter, inteligencia, juego, artificial
1	26	topic_23	23	madrid, comunidad, barcelona, ayuntamiento, municipal
1	26	topic_24	24	partido, pp, vox, elección, sanchez
1	26	topic_25	25	nuclear, combate, avión, tanque, wagner
