level	number of topics	topics	topic_num	keywords
0	208	topic_107	107	universidad, profesor, academico, examen, facultad
0	208	topic_108	108	temperatura, grado, calor, ola, frio
0	208	topic_109	109	autor, foto, escrito, fotografia, original
0	208	topic_110	110	sur, frontera, vuelo, aeropuerto, ee
0	208	topic_111	111	vida, estudiar, conocimiento, dolor, corazon
0	208	topic_112	112	especie, naturaleza, iberico, ave, ejemplar
0	208	topic_113	113	via, tren, estacion, pasajero, retraso
0	208	topic_114	114	civil, guardia, teniente, coronel, cuartel
0	208	topic_115	115	muerte, fiesta, hermano, companero, murio
0	208	topic_116	116	tierra, planeta, aire, arbol, fenomeno
0	208	topic_117	117	israel, palestino, israeli, ocupado, judio
0	208	topic_118	118	sector, economico, crisis, economia, beneficio
0	208	topic_119	119	general, acuerdo, ejecutivo, portavoz, secretario
0	208	topic_120	120	mes, enero, diciembre, marzo, anterior
0	208	topic_121	121	encuesta, ventaja, censo, cis, sondeo
0	208	topic_122	122	espana, espán, primo, ranking
0	208	topic_123	123	espacio, construccion, construir, viajar, terreno
0	208	topic_124	124	sistema, uso, futuro, modelo, generar
0	208	topic_125	125	segun, producir, informe, total, sufrir
0	208	topic_126	126	delito, prision, audiencia, acusado, condenar
0	208	topic_127	127	izquierda, candidata, formación, militante, coordinador
0	208	topic_128	128	caso, causa, concluir, circunstancia, conducta
0	208	topic_129	129	vivienda, alquiler, propietario, piso, turistico
0	208	topic_130	130	banco, entidad, financiero, deuda, bancario
0	208	topic_131	131	ano, siete, octubre, a yo, cerro
0	208	topic_132	132	comunidad, presidenta, regional, autonomico, presupuesto
0	208	topic_133	133	barcelona, valencia, sevilla, acoso, insulto
0	208	topic_134	134	alimento, comida, restaurante, carne, comer
0	208	topic_135	135	animal, perro, caza, gato, bienestar
0	208	topic_136	136	local, calle, domingo, noche, vecino
0	208	topic_137	137	madrid, valenciano, madrileno, madrilén, enrique
0	208	topic_138	138	droga, criminal, operativo, sustancia, kilo
0	208	topic_139	139	llegar, esperar, pesar, conseguir, lograr
0	208	topic_140	140	juzgado, instruccion, investigado, auto, villarejo
0	208	topic_141	141	hospital, paciente, urgencia, clinico, cama
0	208	topic_142	142	policia, detener, agente, presunto, policial
0	208	topic_143	143	medico, atencion, sanidad, sanitario, primaria
0	208	topic_144	144	juan, carlos, rey, felipe, reina
0	208	topic_145	145	   , grafico, economista, correcto,     
0	208	topic_146	146	persona, positivo
0	208	topic_147	147	pablo, rodriguez, censura, ramon, bulo
0	208	topic_148	148	subida, inflacion, tasa, crecimiento, incremento
0	208	topic_149	149	enfermedad, cancer, tratamiento, medicamento, vacuna
0	208	topic_150	150	constitucional, magistrado, organo, renovacion, cgpj
0	208	topic_151	151	cargo, declarar, acusar, ex, juicio
0	208	topic_152	152	pena, penal, codigo, aplicacion, condenado
0	208	topic_153	153	inteligencia, artificial, ia, chatgpt, lenguaje
0	208	topic_154	154	europeo, union, comision, ue, europea
0	208	topic_155	155	marruecos, marroqui, prostitucion, melilla, sahara
0	208	topic_156	156	aereo, avion, misil, drón, globo
0	208	topic_157	157	sexual, abuso, agresion, violacion, violar
0	208	topic_158	158	incendio, fuego, forestal, monte, hectarea
0	208	topic_159	159	derechos, humanos, onu, naciones, salvador
0	208	topic_160	160	gobierno, parlamento, presidencia, oposicion, presidir
0	208	topic_161	161	sanchez, pedro, congreso, diputado, parlamentario
0	208	topic_162	162	transicion, aragon, sostenible, reto, movilidad
0	208	topic_163	163	agricultura, cultivo, alimentacion, ganadero, agricultor
0	208	topic_164	164	ley, norma, aprobacion, enmienda, proposicion
0	208	topic_165	165	hora, manana, resultar, trasladar, emergencia
0	208	topic_166	166	fiscal, impuesto, multa, patrimonio, hacienda
0	208	topic_167	167	club, temporada, deporte, barca, arbitro
0	208	topic_168	168	mar, costa, marino, oceano, km
0	208	topic_169	169	agua, parque, rio, sequia, ambiental
0	208	topic_170	170	ayuntamiento, municipal, alcalde, concejal, alcaldesa
0	208	topic_171	171	premio, ganador, oscar, prestigioso, gala
0	208	topic_172	172	memoria, nazi, franco, dictadura, simbolo
0	208	topic_173	173	jo él, luis, antonio, angel, garcia
0	208	topic_174	174	puerto, barco, buque, submarino, bordo
0	208	topic_175	175	considerar, deber, recurso, cumplir, superior
0	208	topic_176	176	presidente, asesor, mandatario, opositor, emmanuel
0	208	topic_177	177	vasco, bildu, eta, eh, navarra
0	208	topic_178	178	violencia, genero, sexo, feminista, machista
0	208	topic_179	179	peligroso, quimico, transportar, condado, explosion
0	208	topic_180	180	gas, petroleo, crudo, petrolero, exportación
0	208	topic_181	181	mexico, peru, castillo, mexicano, represion
0	208	topic_182	182	antiguo, descubrir, hallazgo, piedra, descubrimiento
0	208	topic_183	183	romano, imperio, roma, ac, dc
0	208	topic_184	184	natural, climatico, global, clima, calentamiento
0	208	topic_185	185	pp, vox, psoe, socialista, votar
0	208	topic_186	186	bacteria, macho, mamifero, hembra, olor
0	208	topic_187	187	catalán, catalunya, cataluna, erc, independentista
0	208	topic_188	188	sindicato, huelga, paro, convenio, convocar
0	208	topic_189	189	humano, cerebro, robot, biologico, extendido
0	208	topic_190	190	combate, avión, tanque, carro, leopard
0	208	topic_191	191	chino, china, asiatico, indio, corea
0	208	topic_192	192	nuclear, fusion, reactor, atomico, uranio
0	208	topic_193	193	judicial, juez, denuncia, sala, fraude
0	208	topic_194	194	feijoo, alberto, nunez, investidura, genova
0	208	topic_195	195	empleo, salario, sueldo, renta, salarial
