Topic,Count,Name,CustomName,Representation,Representative_Docs
35,239,35_trenes_tren_los trenes_ferroviaria,"trenes, tren, los trenes","['trenes', 'tren', 'los trenes', 'ferroviaria', 'transporte', 'de', 'alta velocidad', 'un tren', 'el', 'en']",
36,230,36_cancer_celulas_cancer de_el cancer,"cancer, celulas, cancer de","['cancer', 'celulas', 'cancer de', 'el cancer', 'enfermedad', 'tumores', 'de', 'de cancer', 'investigadores', 'un']",
37,229,37_incendios_incendio_fuego_los incendios,"incendios, incendio, fuego","['incendios', 'incendio', 'fuego', 'los incendios', 'forestales', 'incendios forestales', 'el fuego', 'hectareas', 'de incendios', 'bomberos']",
38,228,38_pensiones_las pensiones_jubilacion_de pensiones,"pensiones, las pensio, jubilacion","['pensiones', 'las pensiones', 'jubilacion', 'de pensiones', 'de las pensiones', 'reforma', 'pension', 'de jubilacion', 'reforma de', 'la reforma']",
39,225,39_lengua_la lengua_lenguas_idioma,"lengua, la lengua, lenguas","['lengua', 'la lengua', 'lenguas', 'idioma', 'en', 'que', 'el', 'se', 'de', 'la']",
40,199,40_ha fallecido_ferrovial_los anos_fallecido,"ha falleci, ferrovial, los anos","['ha fallecido', 'ferrovial', 'los anos', 'fallecido', 'anos', 'ha', 'su', 'de', 'actor', 'de ferrovial']",
41,197,41_apple_amazon_movil_de,"apple, amazon, movil","['apple', 'amazon', 'movil', 'de', 'moviles', 'iphone', 'telecomunicaciones', 'que', 'los', 'sus']",
42,197,42_restos_de_la_los restos,"restos, de, la","['restos', 'de', 'la', 'los restos', 'de la', 'los', 'cementerio', 'el', 'en', 'victimas']",
43,194,43_iglesia_la iglesia_abusos_catolica,"iglesia, la iglesia, abusos","['iglesia', 'la iglesia', 'abusos', 'catolica', 'de la iglesia', 'de', 'la', 'iglesia catolica', 'de abusos', 'los']",
44,186,44_emperador_guerra_la_fue,"emperador, guerra, la","['emperador', 'guerra', 'la', 'fue', 'el', 'de', 'los', 'batalla', 'en', 'imperio']",
45,169,45_la_de_que_los,"la, de, que","['la', 'de', 'que', 'los', 'se', 'el', 'en', 'del', 'de la', 'con']",
46,168,46_hombres_pene_tuberculosis_que,"hombres, pene, tuberculos","['hombres', 'pene', 'tuberculosis', 'que', 'los hombres', 'es', 'sexo', 'los', 'mujeres', 'no']",
