Topic,Count,Name,CustomName,Representation,Representative_Docs
162,57,162_radares_kmh_radar_conductores,"radares, kmh, radar","['radares', 'kmh', 'radar', 'conductores', 'velocidad', 'los radares', 'carreteras', 'accidentes', 'dgt', 'seguridad']",
163,57,163_nos_que_libros_es,"nos, que, libros","['nos', 'que', 'libros', 'es', 'lo', 'no', 'que entendemos por', 'que nos', 'entendemos por', 'que entendemos']",
164,57,164_de_retiradas de_los_en,"de, retiradas , los","['de', 'retiradas de', 'los', 'en', 'retiradas', 'las', 'las retiradas de', 'la', 'las retiradas', 'el']",
165,57,165_vino_cerveza_bebidas_de cerveza,"vino, cerveza, bebidas","['vino', 'cerveza', 'bebidas', 'de cerveza', 'de vino', 'la cerveza', 'vinos', 'alcohol', 'el vino', 'del vino']",
166,56,166_la comision_comision_la comision europea_comision europea,"la comisio, comision, la comisio","['la comision', 'comision', 'la comision europea', 'comision europea', 'de recuperacion', 'europea', 'recuperacion', 'deficit', 'plan de recuperacion', 'espana']",
167,56,167_nazis_hitler_nazi_los nazis,"nazis, hitler, nazi","['nazis', 'hitler', 'nazi', 'los nazis', 'judios', 'los', 'los judios', 'neonazi', 'aleman', 'holocausto']",
168,55,168_nudismo_la_de_el,"nudismo, la, de","['nudismo', 'la', 'de', 'el', 'playas', 'en', 'ordenanza', 'el nudismo', 'ayuntamiento de', 'que']",
169,55,169_que_la_se mete_se,"que, la, se mete","['que', 'la', 'se mete', 'se', 'los', 'como', 'por', 'mete con los', 'mete', 'mete con']",
170,55,170_submarinos_los submarinos_la armada_armada,"submarinos, los submar, la armada","['submarinos', 'los submarinos', 'la armada', 'armada', 'buques', 'el', 'de', 'naval', 'navantia', 'astillero']",
171,54,171_uganda_de uganda_parlamento de uganda_homosexualidad,"uganda, de uganda, parlamento","['uganda', 'de uganda', 'parlamento de uganda', 'homosexualidad', 'su', 'de', 'la', 'el', 'le', 'parlamento de']",
172,54,172_espana_izquierda_derecha_la izquierda,"espana, izquierda, derecha","['espana', 'izquierda', 'derecha', 'la izquierda', 'no', 'la', 'es', 'el', 'que', 'de la izquierda']",
173,54,173_euros_indemnizar_indemnizar con_de,"euros, indemnizar, indemnizar","['euros', 'indemnizar', 'indemnizar con', 'de', 'con euros', 'indemnizar con euros', 'una', 'tribunal superior de', 'tribunal superior', 'la']",
174,54,174_la_de_el_de la,"la, de, el","['la', 'de', 'el', 'de la', 'ciudad', 'al', 'en', 'que', 'del', 'los']",
175,53,175_la_de_del_que,"la, de, del","['la', 'de', 'del', 'que', 'el', 'en', 'de la', 'un', 'se', 'por']",
176,53,176_salarios_salario_los salarios_inflacion,"salarios, salario, los salari","['salarios', 'salario', 'los salarios', 'inflacion', 'la inflacion', 'euros', 'el salario', 'salario medio', 'los', 'euros brutos']",
177,53,177_greene_de_la_la trata,"greene, de, la","['greene', 'de', 'la', 'la trata', 'que', 'de la', 'trata', 'del', 'el', 'por']",
178,52,178_ordonez_victimas_txapote_vote txapote,"ordonez, victimas, txapote","['ordonez', 'victimas', 'txapote', 'vote txapote', 'vote', 'te vote txapote', 'te vote', 'que te vote', 'ha', 'del']",
179,52,179_el_la_que_en,"el, la, que","['el', 'la', 'que', 'en', 'doscuarenta', 'de', 'michael', 'segundos', 'con', 'las']",
180,51,180_cerebro_el cerebro_del cerebro_nuestro cerebro,"cerebro, el cerebro, del cerebr","['cerebro', 'el cerebro', 'del cerebro', 'nuestro cerebro', 'memoria', 'recuerdos', 'es', 'nuestro', 'circuitos', 'la memoria']",
